date,Solo,Random 2v2,Random 3v3,Random 4v4,Arranged 2v2,Arranged 3v3,Arranged 4v4,Tournament,FFA
2017-01-01,442,2,150,0,0,0,0,1,0
2017-01-02,571,0,223,0,0,0,0,0,0
2017-01-03,434,0,191,0,0,0,0,12,0
2017-01-04,571,0,209,0,0,0,0,2,0
2017-01-05,448,0,187,0,0,0,0,0,0
2017-01-06,412,0,170,0,1,0,0,3,0
2017-01-07,603,0,264,0,0,0,0,32,0
2017-01-08,620,0,239,0,0,0,0,1,0
2017-01-09,420,0,163,0,0,0,0,0,0
2017-01-10,370,0,139,0,0,0,0,26,0
2017-01-11,431,0,164,0,1,0,0,4,0
2017-01-12,468,0,199,0,1,0,0,0,0
2017-01-13,489,0,206,0,0,0,0,22,0
2017-01-14,659,0,243,0,0,0,0,0,0
2017-01-15,619,0,249,0,0,0,0,25,1
2017-01-16,565,0,215,0,0,0,0,1,0
2017-01-17,431,0,179,0,0,0,0,1,0
2017-01-18,420,0,164,0,0,0,0,9,0
2017-01-19,366,0,142,0,0,0,0,4,0
2017-01-20,505,0,174,0,0,0,0,0,0
2017-01-21,625,0,226,0,0,0,0,42,0
2017-01-22,640,1,221,0,0,0,0,0,0
2017-01-23,437,0,180,0,0,0,0,0,0
2017-01-24,431,0,150,0,0,0,0,11,0
2017-01-25,453,0,140,0,0,0,0,3,0
2017-01-26,438,0,196,0,0,0,0,0,0
2017-01-27,416,0,179,0,0,0,0,14,0
2017-01-28,543,0,255,0,0,0,0,33,0
2017-01-29,497,1,268,0,0,0,0,2,0
2017-01-30,454,0,194,0,0,0,0,0,0
2017-01-31,313,1,189,0,0,0,0,10,0
2017-02-01,379,0,182,0,0,0,0,2,0
2017-02-02,399,0,163,0,0,0,0,1,0
2017-02-03,382,0,188,0,0,0,0,14,0
2017-02-04,525,0,230,0,0,0,0,1,0
2017-02-05,426,0,211,0,0,0,0,7,0
2017-02-06,353,0,189,0,0,0,0,0,0
2017-02-07,446,1,191,0,0,0,0,0,0
2017-02-08,403,0,165,0,0,0,0,8,0
2017-02-09,411,0,171,0,0,0,0,1,0
2017-02-10,452,0,150,0,0,0,0,0,0
2017-02-11,544,2,244,0,0,0,0,20,0
2017-02-12,487,1,247,0,0,0,0,0,0
2017-02-13,406,0,188,0,0,0,0,0,0
2017-02-14,318,0,156,0,0,0,0,7,0
2017-02-15,411,0,163,0,0,0,0,1,0
2017-02-16,384,0,143,0,0,0,0,0,0
2017-02-17,419,0,201,0,0,0,0,0,0
2017-02-18,537,0,246,0,0,0,0,24,0
2017-02-19,586,0,209,0,0,0,0,1,0
2017-02-20,393,4,198,0,0,0,0,0,0
2017-02-21,374,2,170,0,0,0,0,19,0
2017-02-22,336,0,191,0,0,0,0,3,0
2017-02-23,389,1,191,0,1,0,0,0,0
2017-02-24,431,0,168,0,0,0,0,23,0
2017-02-25,694,9,248,0,0,0,0,0,0
2017-02-26,653,4,201,0,0,0,0,23,0
2017-02-27,428,12,174,0,0,0,0,1,0
2017-02-28,420,0,168,0,0,0,0,0,0
2017-03-01,359,3,149,0,0,0,0,11,0
2017-03-02,357,4,184,0,0,0,0,3,0
2017-03-03,313,0,163,0,6,0,0,0,0
2017-03-04,524,6,243,0,2,0,0,21,0
2017-03-05,517,0,233,0,0,0,0,0,0
2017-03-06,346,4,153,0,5,0,0,0,0
2017-03-07,347,4,170,0,0,0,0,12,0
2017-03-08,363,0,161,0,1,0,0,2,0
2017-03-09,309,0,164,0,3,0,0,0,0
2017-03-10,459,0,179,2,0,0,0,10,0
2017-03-11,517,0,251,0,0,0,0,17,0
2017-03-12,551,0,223,0,0,2,0,0,0
2017-03-13,387,3,157,0,0,0,0,0,0
2017-03-14,359,3,172,0,0,0,0,13,0
2017-03-15,496,2,169,0,1,0,0,2,0
2017-03-16,422,2,160,0,1,0,0,14,0
2017-03-17,432,0,153,0,0,0,0,3,0
2017-03-18,561,0,200,0,0,0,0,0,0
2017-03-19,459,0,191,0,0,0,0,22,0
2017-03-20,455,0,145,0,0,0,0,0,0
2017-03-21,491,0,170,0,0,0,0,0,1
2017-03-22,367,0,122,0,0,0,0,9,0
2017-03-23,387,0,135,0,0,0,0,0,0
2017-03-24,465,0,139,0,0,0,0,14,0
2017-03-25,612,0,225,0,4,0,0,5,0
2017-03-26,531,0,226,0,7,0,0,0,0
2017-03-27,428,0,139,0,0,0,0,0,0
2017-03-28,378,0,144,0,0,0,0,10,0
2017-03-29,433,0,166,0,0,0,0,2,0
2017-03-30,478,0,173,0,0,0,0,0,0
2017-03-31,397,0,145,0,0,0,0,0,0
2017-04-01,532,0,198,0,0,0,0,24,0
2017-04-02,510,0,181,0,0,0,0,0,0
2017-04-03,339,0,131,0,0,0,0,0,1
2017-04-04,310,0,157,0,0,0,0,8,0
2017-04-05,239,0,34,0,0,0,0,0,0
2017-04-06,267,0,66,0,0,0,0,7,0
2017-04-07,294,0,78,0,0,0,0,2,0
2017-04-08,318,0,85,0,0,0,0,0,0
2017-04-09,302,0,100,0,0,0,0,16,0
2017-04-10,241,0,51,0,0,0,0,0,0
2017-04-11,282,0,62,0,0,0,0,1,0
2017-04-12,243,0,75,0,0,0,0,11,0
2017-04-13,268,0,82,0,0,0,0,5,0
2017-04-14,321,0,99,0,0,0,0,20,0
2017-04-15,373,0,111,0,0,0,0,3,1
2017-04-16,277,0,100,0,0,0,0,0,0
2017-04-17,265,0,79,0,0,0,0,0,0
2017-04-18,268,0,56,0,0,0,0,8,0
2017-04-19,277,0,55,0,0,0,0,0,0
2017-04-20,271,0,62,0,0,0,0,11,0
2017-04-21,267,0,58,0,1,0,0,4,0
2017-04-22,399,1,83,0,0,0,0,11,0
