date,Solo,Random 2v2,Random 3v3,Random 4v4,Arranged 2v2,Arranged 3v3,Arranged 4v4,Tournament,FFA
2017-01-01,1603,553,124,490,102,1,0,5,9
2017-01-02,2765,1029,268,875,298,3,0,0,27
2017-01-03,2558,995,234,870,307,0,0,142,19
2017-01-04,2797,1017,221,916,292,2,0,91,29
2017-01-05,2894,918,249,854,345,11,0,6,26
2017-01-06,2965,1107,256,927,321,0,3,46,22
2017-01-07,2856,1216,300,1011,455,15,3,390,31
2017-01-08,3323,1314,346,1075,513,24,7,59,25
2017-01-09,2601,998,263,850,258,16,2,1,14
2017-01-10,2433,872,223,797,203,3,10,321,24
2017-01-11,2527,923,233,763,176,2,1,83,11
2017-01-12,2448,835,219,769,222,1,0,5,21
2017-01-13,2368,899,235,822,261,1,0,447,18
2017-01-14,2867,1045,274,946,356,9,23,62,32
2017-01-15,2908,1035,280,1060,327,5,23,427,40
2017-01-16,2243,902,222,848,278,2,14,1,30
2017-01-17,2208,891,218,806,214,4,1,47,13
2017-01-18,2369,907,206,823,233,3,0,309,20
2017-01-19,2395,947,232,780,208,11,0,81,16
2017-01-20,2488,924,221,835,222,3,0,14,13
2017-01-21,2790,987,270,900,285,5,0,328,30
2017-01-22,3041,1098,318,1059,299,7,0,50,41
2017-01-23,2378,854,239,845,227,10,0,1,26
2017-01-24,2375,963,262,805,245,6,0,151,24
2017-01-25,2417,949,221,799,252,1,0,91,23
2017-01-26,2449,929,230,795,240,2,0,3,27
2017-01-27,2539,923,204,804,211,0,0,320,23
2017-01-28,2846,1171,271,967,365,9,4,433,32
2017-01-29,2992,1144,304,1054,315,6,16,43,45
2017-01-30,2411,970,199,889,164,0,36,1,21
2017-01-31,2468,939,226,860,200,2,1,201,14
2017-02-01,2627,950,220,862,185,3,0,63,15
2017-02-02,2385,978,240,861,222,4,1,2,17
2017-02-03,2508,920,226,864,211,1,20,228,23
2017-02-04,3022,1079,296,1001,362,1,18,87,33
2017-02-05,3099,1142,300,1101,337,3,20,365,36
2017-02-06,2375,882,246,886,202,8,18,1,13
2017-02-07,2481,844,248,848,213,10,18,9,12
2017-02-08,2184,844,184,831,189,12,0,198,22
2017-02-09,2357,911,209,789,222,6,0,86,12
2017-02-10,2461,859,200,822,250,4,0,67,16
2017-02-11,2645,1021,261,969,283,2,0,453,21
2017-02-12,2775,1088,298,1032,337,7,0,30,30
2017-02-13,2555,945,213,856,212,3,0,1,22
2017-02-14,2409,933,193,803,223,3,1,108,14
2017-02-15,2479,814,187,751,196,2,0,29,18
2017-02-16,2218,881,155,701,226,9,0,5,12
2017-02-17,2449,836,194,820,205,0,0,34,16
