date,Solo,Random 2v2,Random 3v3,Random 4v4,Arranged 2v2,Arranged 3v3,Arranged 4v4,Tournament,FFA
2017-01-01,533,2,198,0,0,0,0,1,0
2017-01-02,576,0,232,0,0,0,0,0,0
2017-01-03,443,0,189,0,0,0,0,13,0
2017-01-04,566,0,202,0,0,0,0,1,0
2017-01-05,416,0,186,0,0,0,0,2,0
2017-01-06,449,0,165,0,1,0,0,1,0
2017-01-07,616,0,270,0,0,0,0,33,0
2017-01-08,589,0,243,0,0,0,0,0,0
2017-01-09,413,0,138,0,0,0,0,0,0
2017-01-10,369,0,161,0,1,0,0,27,0
2017-01-11,441,0,160,0,0,0,0,3,0
2017-01-12,464,0,201,0,1,0,0,21,0
2017-01-13,504,0,206,0,0,0,0,1,0
2017-01-14,662,0,254,0,0,0,0,0,0
2017-01-15,612,0,242,0,0,0,0,26,1
2017-01-16,563,0,222,0,0,0,0,0,0
2017-01-17,429,0,168,0,0,0,0,1,0
2017-01-18,421,0,168,0,0,0,0,12,0
2017-01-19,349,0,137,0,0,0,0,1,0
2017-01-20,534,0,172,0,0,0,0,37,0
2017-01-21,634,0,225,0,0,0,0,5,0
2017-01-22,626,1,239,0,0,0,0,0,0
2017-01-23,426,0,165,0,0,0,0,0,0
2017-01-24,429,0,143,0,0,0,0,12,0
2017-01-25,458,0,146,0,0,0,0,2,0
2017-01-26,414,0,192,0,0,0,0,13,0
2017-01-27,463,0,186,0,0,0,0,1,0
2017-01-28,507,0,259,0,0,0,0,34,0
2017-01-29,509,1,263,0,0,0,0,1,0
2017-01-30,434,0,203,0,0,0,0,0,0
2017-01-31,304,1,177,0,0,0,0,10,0
2017-02-01,401,0,186,0,0,0,0,3,0
2017-02-02,399,0,168,0,0,0,0,13,0
2017-02-03,413,0,178,0,0,0,0,2,0
2017-02-04,490,0,236,0,0,0,0,0,0
2017-02-05,413,0,211,0,0,0,0,7,0
2017-02-06,353,0,191,0,0,0,0,0,0
2017-02-07,478,1,189,0,0,0,0,0,0
2017-02-08,378,0,157,0,0,0,0,9,0
2017-02-09,442,0,173,0,0,0,0,0,0
2017-02-10,445,1,152,0,0,0,0,15,0
2017-02-11,533,2,259,0,0,0,0,5,0
2017-02-12,480,0,244,0,0,0,0,0,0
2017-02-13,403,0,175,0,0,0,0,0,0
2017-02-14,328,0,153,0,0,0,0,8,0
2017-02-15,398,0,168,0,0,0,0,0,0
2017-02-16,391,0,145,0,0,0,0,0,0
2017-02-17,444,0,207,0,0,0,0,0,0
2017-02-18,539,0,238,0,0,0,0,25,0
2017-02-19,551,0,209,0,0,0,0,0,0
2017-02-20,399,4,206,0,0,0,0,0,0
2017-02-21,374,2,173,0,0,0,0,20,0
2017-02-22,340,0,180,0,1,0,0,2,0
2017-02-23,389,1,191,0,0,0,0,23,0
2017-02-24,474,0,169,0,0,0,0,0,0
2017-02-25,700,9,251,0,0,0,0,0,0
2017-02-26,635,14,204,0,0,0,0,24,0
2017-02-27,404,2,161,0,0,0,0,0,0
2017-02-28,416,0,170,0,0,0,0,0,0
2017-03-01,332,3,153,0,0,0,0,14,0
2017-03-02,367,4,180,0,5,0,0,0,0
2017-03-03,319,2,173,0,3,0,0,18,0
2017-03-04,520,4,249,0,0,0,0,3,0
2017-03-05,535,0,222,0,5,0,0,0,0
2017-03-06,340,6,152,0,0,0,0,0,0
2017-03-07,354,2,167,0,1,0,0,12,0
2017-03-08,346,0,155,0,0,0,0,2,0
2017-03-09,308,0,174,0,3,0,0,9,0
2017-03-10,495,0,186,2,0,0,0,1,0
2017-03-11,511,0,247,0,0,1,0,17,0
2017-03-12,534,2,218,0,0,1,0,0,0
2017-03-13,377,1,159,0,0,0,0,0,0
2017-03-14,385,4,172,0,0,0,0,15,0
2017-03-15,477,1,157,0,2,0,0,0,0
2017-03-16,452,2,160,0,0,0,0,16,0
2017-03-17,402,0,160,0,0,0,0,1,0
2017-03-18,573,0,197,0,0,0,0,0,0
2017-03-19,441,0,199,0,0,0,0,22,0
2017-03-20,478,0,127,0,0,0,0,0,0
2017-03-21,492,0,172,0,0,0,0,0,1
2017-03-22,357,0,129,0,0,0,0,9,0
2017-03-23,406,0,123,0,0,0,0,0,0
2017-03-24,453,0,164,0,0,0,0,16,0
2017-03-25,631,0,217,0,11,0,0,3,0
2017-03-26,503,0,216,0,0,0,0,0,0
2017-03-27,415,0,144,0,0,0,0,0,0
2017-03-28,386,0,142,0,0,0,0,12,0
2017-03-29,458,0,176,0,0,0,0,0,0
2017-03-30,459,0,164,0,0,0,0,0,0
2017-03-31,409,0,156,0,0,0,0,0,0
2017-04-01,526,0,191,0,0,0,0,24,0
2017-04-02,487,0,173,0,0,0,0,0,0
2017-04-03,340,0,147,0,0,0,0,0,1
2017-04-04,279,0,111,0,0,0,0,8,0
2017-04-05,249,0,50,0,0,0,0,0,0
2017-04-06,260,0,63,0,0,0,0,7,0
2017-04-07,302,0,77,0,0,0,0,2,0
2017-04-08,332,0,101,0,0,0,0,0,0
2017-04-09,293,0,87,0,0,0,0,16,0
2017-04-10,249,0,50,0,0,0,0,0,0
2017-04-11,263,0,71,0,0,0,0,1,0
2017-04-12,271,0,71,0,0,0,0,16,0
2017-04-13,249,0,90,0,0,0,0,0,0
2017-04-14,336,0,94,0,0,0,0,23,1
2017-04-15,368,0,108,0,0,0,0,0,0
2017-04-16,273,0,108,0,0,0,0,0,0
2017-04-17,263,0,66,0,0,0,0,0,0
2017-04-18,255,0,54,0,0,0,0,8,0
2017-04-19,283,0,68,0,0,0,0,0,0
2017-04-20,284,0,53,0,0,0,0,12,0
2017-04-21,281,1,67,0,1,0,0,3,0
2017-04-22,382,0,81,0,0,0,0,11,0
2017-04-23,368,0,84,0,0,0,0,0,0
2017-04-24,317,0,78,0,0,0,0,0,0
2017-04-25,306,0,65,0,0,0,0,8,0
2017-04-26,254,1,58,0,0,0,0,0,0
2017-04-27,257,0,58,0,0,0,0,8,0
2017-04-28,238,0,41,0,0,0,0,0,0
2017-04-29,351,0,78,0,0,0,0,0,0
2017-04-30,412,0,68,0,0,0,0,17,0
2017-05-01,308,0,52,0,0,0,0,0,0
2017-05-02,293,0,36,0,0,0,0,0,0
2017-05-03,342,0,55,0,0,0,0,5,0
2017-05-04,366,0,44,0,0,0,0,0,0
2017-05-05,340,0,54,0,0,0,0,10,0
2017-05-06,354,0,70,0,0,0,0,2,0
2017-05-07,327,0,80,0,0,0,0,0,0
2017-05-08,335,0,54,0,0,0,0,0,0
2017-05-09,299,0,39,0,0,0,0,9,0
2017-05-10,315,0,25,0,0,0,0,0,0
2017-05-11,311,0,32,0,0,0,0,0,0
2017-05-12,281,0,38,0,0,0,0,0,0
2017-05-13,379,0,36,0,0,0,0,11,0
2017-05-14,383,0,46,0,0,0,0,0,0
2017-05-15,273,0,33,0,0,0,0,0,0
2017-05-16,311,0,25,0,0,0,0,20,0
2017-05-17,302,0,29,0,0,0,0,0,0
2017-05-18,274,0,23,0,0,0,0,6,0
2017-05-19,298,0,25,0,0,0,0,0,0
2017-05-20,390,0,26,0,0,0,0,0,0
2017-05-21,355,0,32,0,1,0,0,12,0
2017-05-22,282,0,21,0,0,0,0,0,0
2017-05-23,287,0,24,0,0,0,0,0,0
2017-05-24,316,0,34,0,0,0,0,13,0
2017-05-25,289,0,24,0,0,0,0,0,0
2017-05-26,340,1,35,0,0,0,0,29,0
2017-05-27,370,0,38,0,0,0,0,2,0
2017-05-28,343,0,42,0,0,0,0,0,0
2017-05-29,343,0,38,0,0,0,0,0,0
2017-05-30,276,0,34,0,0,0,0,6,0
2017-05-31,314,0,31,0,0,0,0,0,0
2017-06-01,246,0,24,0,0,0,0,14,0
2017-06-02,323,0,16,0,0,0,0,2,0
2017-06-03,479,0,37,0,1,0,0,14,0
2017-06-04,444,0,28,0,0,0,0,0,0
2017-06-05,335,0,35,0,0,0,0,0,0
2017-06-06,293,0,26,0,2,0,0,4,0
2017-06-07,348,0,40,0,0,0,0,0,0
2017-06-08,362,0,35,0,0,0,0,4,0
2017-06-09,319,0,33,0,1,0,0,0,0
2017-06-10,408,0,32,0,2,0,0,0,0
2017-06-11,343,0,54,0,5,0,0,20,0
2017-06-12,303,0,29,0,5,0,0,0,0
2017-06-13,338,0,26,0,5,0,0,0,0
2017-06-14,325,0,27,0,0,0,0,5,0
2017-06-15,304,0,40,0,0,0,0,0,0
2017-06-16,315,0,25,0,0,0,0,19,0
2017-06-17,339,0,35,0,0,0,0,0,0
2017-06-18,391,0,33,0,0,0,0,0,0
2017-06-19,310,0,32,0,0,0,0,0,0
2017-06-20,250,0,25,0,0,0,0,6,0
2017-06-21,237,0,25,0,0,0,0,0,0
2017-06-22,308,0,20,0,0,0,0,0,0
2017-06-23,355,0,26,0,0,0,0,0,0
2017-06-24,336,0,34,0,0,0,0,11,0
2017-06-25,314,0,35,0,0,0,0,2,0
2017-06-26,350,0,23,0,0,0,0,0,0
2017-06-27,353,0,18,0,0,0,0,12,0
