date,Solo,Random 2v2,Random 3v3,Random 4v4,Arranged 2v2,Arranged 3v3,Arranged 4v4,Tournament,FFA
2017-01-01,652,194,22,151,6,0,0,0,1
2017-01-02,2638,1005,234,864,293,4,0,5,26
2017-01-03,2793,1032,283,894,329,0,0,0,21
2017-01-04,2663,980,216,890,289,1,0,216,20
2017-01-05,2835,1003,235,877,308,11,0,23,30
2017-01-06,3006,961,264,897,326,1,0,46,23
2017-01-07,2796,1216,273,951,399,9,6,22,27
2017-01-08,3000,1237,302,1058,508,21,5,369,31
2017-01-09,3151,1189,347,1011,372,25,3,59,18
2017-01-10,2460,918,235,782,217,3,11,0,18
2017-01-11,2447,896,228,791,174,2,0,373,16
2017-01-12,2464,832,230,759,214,1,1,36,17
2017-01-13,2327,919,213,790,248,0,0,447,16
2017-01-14,2673,937,253,852,297,9,23,40,27
2017-01-15,2954,1028,262,1027,310,5,0,23,38
2017-01-16,2530,983,268,976,348,2,23,427,39
2017-01-17,2233,889,231,809,238,4,15,0,18
2017-01-18,2297,938,182,830,218,4,0,65,20
2017-01-19,2374,925,242,783,237,11,0,372,16
2017-01-20,2457,927,215,808,188,2,0,14,14
2017-01-21,2541,912,244,838,278,6,0,261,18
2017-01-22,2926,1076,273,989,273,1,0,68,37
2017-01-23,2788,944,307,969,272,16,0,50,31
2017-01-24,2413,925,258,838,250,6,0,0,34
2017-01-25,2316,962,240,790,257,1,0,217,22
2017-01-26,2496,918,225,789,242,2,0,28,22
2017-01-27,2461,970,205,792,211,0,0,320,19
2017-01-28,2748,1078,238,888,259,8,4,49,27
2017-01-29,2885,1105,283,1011,393,7,16,385,40
2017-01-30,2717,1073,264,996,199,0,18,43,37
2017-01-31,2459,941,225,907,207,2,19,0,20
2017-02-01,2513,937,204,817,186,3,0,249,12
2017-02-02,2500,984,243,896,198,2,0,17,15
2017-02-03,2384,926,225,834,205,3,3,228,19
2017-02-04,2831,986,255,935,302,1,18,80,30
2017-02-05,3064,1134,281,1028,331,0,38,8,36
2017-02-06,2730,1008,315,1044,282,11,0,365,23
2017-02-07,2414,861,248,861,201,7,18,0,13
2017-02-08,2244,793,193,795,200,15,18,10,12
2017-02-09,2329,939,188,841,214,6,0,283,19
2017-02-10,2356,852,198,791,249,4,0,67,15
2017-02-11,2567,948,225,904,261,2,0,413,20
2017-02-12,2774,1069,296,980,297,7,0,41,25
2017-02-13,2714,1052,260,986,289,3,0,30,33
2017-02-14,2538,950,200,829,234,3,1,0,8
2017-02-15,2291,801,189,719,180,0,0,126,19
2017-02-16,2379,871,168,718,213,11,0,16,14
2017-02-17,2266,842,178,791,204,0,0,34,16
2017-02-18,2696,958,218,868,270,1,0,13,20
2017-02-19,2678,1058,264,952,397,7,1,431,40
2017-02-20,2780,1005,239,959,284,1,0,39,23
2017-02-21,2435,914,215,825,201,5,0,0,18
2017-02-22,2357,878,211,815,203,0,0,390,19
2017-02-23,2556,892,223,832,221,5,1,42,23
2017-02-24,2517,960,217,804,251,7,1,396,20
2017-02-25,2728,1057,255,919,310,7,0,57,20
2017-02-26,2812,1237,298,1021,342,10,0,20,39
2017-02-27,2687,1021,250,977,334,10,0,302,39
2017-02-28,2529,847,182,824,210,1,0,0,27
2017-03-01,2548,904,174,791,181,0,1,36,19
2017-03-02,2386,869,154,732,212,1,0,366,19
2017-03-03,2296,861,175,798,202,0,0,17,14
2017-03-04,2641,928,221,910,205,0,2,394,21
2017-03-05,2776,1034,246,976,273,3,0,35,39
2017-03-06,2726,942,268,935,276,7,0,21,27
2017-03-07,2348,862,200,740,183,5,0,0,15
2017-03-08,2343,924,217,764,218,1,0,275,14
2017-03-09,2379,896,199,756,183,5,0,27,16
2017-03-10,2554,921,217,738,206,3,0,215,18
