gateway,gametype,allgames,shortgames,realgames,realratio,rocgames,tftgames,overlapgames,tftratio,estimatedtftgames,estimatedrocgames
Northrend,Solo,615916,89182,526734,5.91,78021,313131,135582,4.01,421670,105064
Northrend,Random 2v2,163091,14171,148920,10.51,35,92171,40084,2633.46,132240,50
Northrend,Random 3v3,76439,7320,69119,9.44,43418,10136,0,0.23,10136,43418
Northrend,Random 4v4,150842,13728,137114,9.99,0,137114,0,,137114,0
Northrend,Arranged 2v2,42342,5897,36445,6.18,45,21440,8058,476.44,29482,61
Northrend,Arranged 3v3,1323,830,493,0.59,36,413,0,11.47,413,36
Northrend,Arranged 4v4,895,484,411,0.85,0,411,0,,411,0
Northrend,Tournament,31406,11337,20069,1.77,0,20069,0,,20069,0
Northrend,FFA,2483,46,2437,52.98,3,2206,228,735.33,2434,3
Northrend,Total,1084737,142995,941742,6.59,121558,597091,183952,4.91,753969,148632
Azeroth,Solo,195728,30844,164884,5.35,13309,113323,38252,8.51,147555,17329
Azeroth,Random 2v2,2322,1876,446,0.24,4,271,116,67.75,386,5
Azeroth,Random 3v3,16,7,9,1.29,2,5,0,2.5,5,2
Azeroth,Random 4v4,62505,6036,56469,9.36,0,56469,0,,56469,0
Azeroth,Arranged 2v2,1167,91,1076,11.82,1,635,215,635.0,850,1
Azeroth,Arranged 3v3,4,1,3,3.00,0,3,0,,3,0
Azeroth,Arranged 4v4,5,0,5,,0,5,0,,5,0
Azeroth,Tournament,4433,297,4136,13.93,0,4136,0,,4136,0
Azeroth,FFA,15,0,15,,5,8,1,1.6,9,5
Azeroth,Total,266195,39152,227043,5.80,13321,174855,38584,13.13,209418,17342
Lordaeron,Solo,96720,19213,77507,4.03,1191,59495,16821,49.95,75986,1521
Lordaeron,Random 2v2,507,427,80,0.19,0,64,0,,64,0
Lordaeron,Random 3v3,24537,2748,21789,7.93,0,18407,0,,18407,0
Lordaeron,Random 4v4,2,0,2,,0,2,0,,2,0
Lordaeron,Arranged 2v2,104,47,57,1.21,0,40,0,,40,0
Lordaeron,Arranged 3v3,2,0,2,,0,2,0,,2,0
Lordaeron,Arranged 4v4,0,0,0,,0,0,0,,0,0
Lordaeron,Tournament,1489,382,1107,2.90,0,1107,0,,1107,0
Lordaeron,FFA,12,7,5,0.71,0,5,0,,5,0
Lordaeron,Total,123373,22824,100549,4.41,1191,79122,16821,66.43,95613,1521
Kalimdor,Solo,285456,90439,195017,2.16,98,154030,40889,1571.73,194894,123
Kalimdor,Random 2v2,52930,8763,44167,5.04,0,38417,0,,38417,0
Kalimdor,Random 3v3,32644,7908,24736,3.13,0,21124,0,,21124,0
Kalimdor,Random 4v4,0,0,0,,0,0,0,,0,0
Kalimdor,Arranged 2v2,310,119,191,1.61,0,131,0,,131,0
Kalimdor,Arranged 3v3,2810,2758,52,0.02,0,52,0,,52,0
Kalimdor,Arranged 4v4,0,0,0,,0,0,0,,0,0
Kalimdor,Tournament,858,163,695,4.26,0,695,0,,695,0
Kalimdor,FFA,0,0,0,,0,0,0,,0,0
Kalimdor,Total,375008,110150,264858,2.40,98,214449,40889,2188.26,255313,123
