date,Solo,Random 2v2,Random 3v3,Random 4v4,Arranged 2v2,Arranged 3v3,Arranged 4v4,Tournament,FFA
2017-06-21,545,1,0,188,0,0,0,6,0
2017-06-22,639,0,0,237,8,0,0,2,0
2017-06-23,701,1,0,238,7,0,0,0,0
2017-06-24,792,3,0,270,3,0,0,58,0
2017-06-25,725,0,0,255,0,0,0,8,0
2017-06-26,777,1,0,202,2,0,0,0,0
2017-06-20,648,10,0,240,2,0,0,30,0
2017-06-19,569,1,0,236,3,0,0,0,0
2017-01-01,604,0,0,212,3,0,0,2,0
2017-01-02,968,3,0,454,47,0,0,0,0
2017-01-03,880,2,0,391,39,0,0,45,0
2017-01-04,824,3,0,356,13,0,0,3,0
2017-01-05,821,2,0,379,27,0,0,0,0
2017-01-06,917,0,0,376,26,0,0,10,0
2017-01-07,1100,1,0,418,18,1,0,75,0
2017-01-08,1049,3,0,456,17,0,0,8,0
2017-01-09,836,5,0,358,13,0,0,0,1
2017-01-10,809,2,0,343,20,0,0,72,0
2017-01-11,752,0,0,337,25,0,0,22,0
2017-01-12,725,4,0,332,14,0,0,1,0
2017-01-13,802,1,0,348,18,0,0,54,0
2017-01-14,1053,1,0,416,23,0,0,5,0
2017-01-15,960,6,0,430,16,0,0,95,0
2017-01-16,969,1,0,377,14,0,0,0,0
2017-01-17,797,3,0,351,13,0,0,3,0
2017-01-18,843,1,0,323,7,0,0,59,0
2017-01-19,879,1,0,341,7,0,0,19,0
2017-01-20,922,1,0,354,10,0,0,3,0
2017-01-21,974,4,0,393,14,0,0,95,0
2017-01-22,1036,0,0,428,26,0,0,1,0
2017-01-23,810,2,0,355,32,0,0,0,0
2017-01-24,901,2,0,336,10,0,0,34,0
2017-01-25,807,1,0,341,6,0,0,15,0
2017-01-26,845,2,0,351,16,0,0,0,0
2017-01-27,885,1,0,374,14,0,0,56,0
2017-01-28,1047,1,0,433,25,0,0,113,1
2017-01-29,1022,1,0,474,16,0,0,8,2
2017-01-30,854,4,0,363,28,1,0,0,0
2017-01-31,842,1,1,348,4,0,0,95,0
2017-02-01,931,1,0,334,6,0,0,22,0
2017-02-02,995,1,0,324,6,0,0,2,0
2017-02-03,969,3,0,358,1,0,0,58,0
2017-02-04,1207,2,0,437,1,0,0,3,0
2017-02-05,1124,4,0,471,14,0,0,91,0
2017-02-06,809,0,0,327,1,0,0,1,0
2017-02-07,809,4,0,294,2,0,0,1,0
2017-02-08,886,9,2,349,5,0,0,32,0
2017-02-09,942,4,0,343,5,0,0,4,0
2017-02-10,933,3,0,358,2,0,0,6,0
2017-02-11,1084,2,0,426,5,0,0,86,0
2017-02-12,1143,0,0,480,7,0,0,2,0
2017-02-13,891,0,0,325,1,0,0,0,0
2017-02-14,823,0,0,287,13,0,0,30,0
2017-02-15,835,1,0,285,0,0,0,1,0
2017-02-16,890,0,0,285,2,0,0,1,0
2017-02-17,803,0,0,336,0,0,0,3,0
2017-02-18,976,1,0,409,2,0,0,87,0
2017-02-19,950,1,0,421,7,0,0,5,0
2017-02-20,976,1,0,398,4,0,0,0,0
2017-02-21,851,0,0,324,7,0,0,52,0
2017-02-22,835,2,0,288,19,0,0,12,0
2017-02-23,866,1,0,309,8,0,0,1,0
2017-02-24,772,2,0,333,0,0,0,66,0
2017-02-25,1042,2,0,430,13,0,0,5,0
2017-02-26,1004,2,0,467,9,0,0,105,0
2017-02-27,826,2,0,321,7,0,0,1,0
2017-02-28,819,0,0,324,0,0,0,3,0
2017-03-01,750,0,0,292,1,0,0,47,0
2017-03-02,864,0,0,303,6,0,0,9,0
2017-03-03,840,0,1,322,4,0,0,1,0
2017-03-04,977,2,0,405,15,0,0,53,0
2017-03-05,990,1,0,458,7,0,0,1,0
2017-03-06,711,0,0,331,7,0,0,0,1
2017-03-07,780,0,0,301,3,0,0,33,0
2017-03-08,746,0,0,289,0,0,0,8,0
2017-03-09,711,0,0,302,1,0,0,2,0
2017-03-10,639,0,0,291,0,0,0,36,0
2017-03-11,956,2,2,447,16,0,0,99,0
2017-03-12,1028,1,0,435,13,0,0,4,0
2017-03-13,911,0,0,346,5,0,0,0,0
2017-03-14,870,0,0,344,6,0,0,56,0
2017-03-15,947,11,0,353,6,0,0,12,0
2017-03-16,785,2,0,294,2,0,0,43,0
2017-03-17,832,2,0,254,2,0,0,12,0
2017-03-18,951,2,0,345,5,0,0,1,0
