date,Solo,Random 2v2,Random 3v3,Random 4v4,Arranged 2v2,Arranged 3v3,Arranged 4v4,Tournament,FFA
2017-01-01,377,99,54,0,4,0,0,0,0
2017-01-02,1587,420,247,0,1,0,0,0,0
2017-01-03,1298,316,144,0,0,0,0,0,0
2017-01-04,1215,284,144,0,0,0,0,5,0
2017-01-05,1202,263,154,0,0,0,0,0,0
2017-01-06,1152,244,139,0,0,0,0,0,0
2017-01-07,1189,257,167,0,2,0,0,0,0
2017-01-08,1458,381,274,0,1,0,0,37,0
2017-01-09,1527,366,279,0,1,0,0,4,0
2017-01-10,1110,277,157,0,0,0,0,0,0
2017-01-11,1055,291,135,0,0,0,0,17,0
2017-01-12,1164,274,191,0,0,0,0,0,0
2017-01-13,1115,228,125,0,4,0,0,23,0
2017-01-14,1249,295,176,0,0,0,0,0,0
2017-01-15,1486,389,310,0,1,0,0,0,0
2017-01-16,1361,374,280,0,0,0,0,26,0
2017-01-17,1183,287,141,0,0,0,0,0,0
2017-01-18,1116,218,167,0,0,0,0,2,0
2017-01-19,1186,265,166,0,0,0,0,18,0
2017-01-20,1069,267,134,0,0,0,0,0,0
2017-01-21,1304,327,208,0,3,0,0,18,0
2017-01-22,1430,411,319,0,1,0,0,2,0
2017-01-23,1394,388,290,0,2,0,0,0,0
2017-01-24,1057,275,122,0,0,0,0,0,0
2017-01-25,1153,289,131,0,3,0,0,11,0
2017-01-26,1125,218,149,0,1,0,0,0,0
2017-01-27,1382,359,188,0,1,0,0,5,0
2017-01-28,1376,405,222,0,20,0,0,0,0
2017-01-29,1349,344,222,0,11,0,0,14,0
2017-01-30,1548,403,266,0,1,0,0,1,0
2017-01-31,1493,367,252,0,6,0,0,0,0
2017-02-01,1111,252,159,0,0,0,0,28,0
2017-02-02,1184,261,145,0,0,0,0,0,0
2017-02-03,1068,245,124,0,0,0,0,5,0
2017-02-04,1272,330,169,0,0,0,0,0,0
2017-02-05,1452,462,288,0,19,0,0,0,0
2017-02-06,1281,362,280,0,11,0,0,23,0
2017-02-07,1153,275,134,0,1,0,0,0,0
2017-02-08,1137,271,145,0,0,0,0,0,0
2017-02-09,1024,264,136,0,0,0,0,3,0
2017-02-10,956,212,130,0,10,0,0,0,0
2017-02-11,1036,281,165,0,0,0,0,22,0
2017-02-12,1183,354,240,0,14,0,0,0,0
2017-02-13,1167,308,235,0,4,0,0,1,0
2017-02-14,888,209,110,0,0,0,0,0,0
2017-02-15,888,229,121,0,0,0,0,8,0
2017-02-16,880,251,117,0,0,0,0,1,0
2017-02-17,957,255,125,0,0,0,0,0,0
2017-02-18,1059,295,142,0,2,0,0,1,0
2017-02-19,1284,354,266,0,2,0,0,18,0
2017-02-20,1260,301,217,0,3,0,0,0,0
2017-02-21,986,211,107,0,1,0,0,0,0
2017-02-22,698,175,79,0,0,0,0,0,0
