date,Northrend,Azeroth,Lordaeron,Kalimdor
2017-01-01,2962,1499,981,623
2017-01-02,7322,1955,981,3201
2017-01-03,7136,1578,761,2409
2017-01-04,7547,1473,845,2330
2017-01-05,7538,1666,730,2262
2017-01-06,7835,1580,818,2261
2017-01-07,8647,1977,1110,2282
2017-01-08,8927,1971,892,2987
2017-01-09,7281,1416,656,3131
2017-01-10,6422,1548,659,2155
2017-01-11,6953,1354,737,2033
2017-01-12,6246,1408,821,2343
2017-01-13,7047,1451,893,2123
2017-01-14,7706,1775,1041,2464
2017-01-15,8480,1907,1006,3033
2017-01-16,6158,1679,1031,2869
2017-01-17,6015,1469,727,2271
2017-01-18,6312,1617,778,2136
2017-01-19,6838,1555,591,2283
2017-01-20,6337,1575,940,2040
2017-01-21,7535,1784,1030,2598
2017-01-22,7812,1904,974,3107
2017-01-23,6690,1432,773,2951
2017-01-24,6468,1567,741,2145
2017-01-25,6882,1407,730,2265
2017-01-26,6263,1606,718,2014
2017-01-27,6792,1589,877,2756
2017-01-28,7989,2035,1028,2760
2017-01-29,7991,1969,916,2757
2017-01-30,6534,1478,786,3065
2017-01-31,6576,1647,594,3143
2017-02-01,6737,1653,737,2303
2017-02-02,6295,1598,668,2240
2017-02-03,6770,1571,761,2096
2017-02-04,7866,2172,912,2494
2017-02-05,8577,1899,763,3152
2017-02-06,6829,1528,663,2767
2017-02-07,6415,1482,897,2278
2017-02-08,5902,1573,598,2129
2017-02-09,6543,1548,791,2116
2017-02-10,6435,1673,802,1886
2017-02-11,7741,1893,956,2043
2017-02-12,7615,2059,842,2560
2017-02-13,6621,1431,702,2574
2017-02-14,6320,1354,613,1803
2017-02-15,5970,1514,704,1696
2017-02-16,5769,1411,627,1744
2017-02-17,6251,1407,864,1803
2017-02-18,7633,1839,1021,2045
2017-02-19,7567,1826,1065,2623
2017-02-20,6414,1774,881,2497
2017-02-21,6241,1523,749,1726
2017-02-22,6740,1487,722,1840
2017-02-23,6767,1625,824,1874
2017-02-24,7489,1338,1005,1658
2017-02-25,7545,1925,1211,1933
2017-02-26,8419,2095,1038,2527
2017-02-27,6543,1405,689,2458
2017-02-28,6145,1399,777,1611
2017-03-01,6323,1458,753,2010
2017-03-02,6560,1392,683,2364
2017-03-03,5936,1435,716,1707
2017-03-04,7923,1796,911,2009
2017-03-05,7438,1961,967,2552
2017-03-06,6311,1321,708,2422
2017-03-07,6044,1391,759,1790
2017-03-08,6544,1258,628,1601
