date,Solo,Random 2v2,Random 3v3,Random 4v4,Arranged 2v2,Arranged 3v3,Arranged 4v4,Tournament,FFA
2017-01-01,338,93,52,0,4,0,0,0,0
2017-01-02,1597,426,248,0,1,0,0,0,0
2017-01-03,1287,311,145,0,0,0,0,0,0
2017-01-04,1231,288,144,0,0,0,0,5,0
2017-01-05,1191,264,154,0,0,0,0,0,0
2017-01-06,1165,243,139,0,0,0,0,0,0
2017-01-07,1170,253,167,0,2,0,0,0,0
2017-01-08,1450,373,272,0,1,0,0,37,0
2017-01-09,1547,377,281,0,1,0,0,4,0
2017-01-10,1113,278,157,0,0,0,0,0,0
2017-01-11,1060,290,134,0,0,0,0,17,0
2017-01-12,1158,273,192,0,0,0,0,0,0
2017-01-13,1119,231,125,0,4,0,0,23,0
2017-01-14,1238,289,176,0,0,0,0,0,0
2017-01-15,1479,389,310,0,1,0,0,0,0
2017-01-16,1373,379,280,0,0,0,0,26,0
2017-01-17,1172,288,141,0,0,0,0,0,0
2017-01-18,1135,217,167,0,0,0,0,2,0
2017-01-19,1174,262,166,0,0,0,0,18,0
2017-01-20,1083,268,134,0,0,0,0,0,0
2017-01-21,1288,323,204,0,3,0,0,18,0
2017-01-22,1438,411,321,0,1,0,0,2,0
2017-01-23,1408,391,292,0,2,0,0,0,0
2017-01-24,1050,278,122,0,0,0,0,0,0
2017-01-25,1151,289,131,0,3,0,0,11,0
2017-01-26,1117,215,149,0,1,0,0,0,0
2017-01-27,1379,359,187,0,1,0,0,5,0
2017-01-28,1382,402,223,0,20,0,0,0,0
2017-01-29,1342,345,222,0,11,0,0,14,0
2017-01-30,1544,403,265,0,1,0,0,1,0
2017-01-31,1514,371,253,0,6,0,0,0,0
2017-02-01,1102,254,159,0,0,0,0,28,0
2017-02-02,1185,259,145,0,0,0,0,0,0
2017-02-03,1066,246,124,0,0,0,0,5,0
2017-02-04,1262,319,169,0,0,0,0,0,0
2017-02-05,1466,467,286,0,19,0,0,0,0
2017-02-06,1283,368,282,0,11,0,0,23,0
2017-02-07,1152,275,134,0,1,0,0,0,0
2017-02-08,1128,267,145,0,0,0,0,0,0
2017-02-09,1042,267,136,0,0,0,0,3,0
2017-02-10,945,213,130,0,10,0,0,0,0
2017-02-11,1024,278,165,0,0,0,0,22,0
2017-02-12,1190,353,240,0,14,0,0,0,0
2017-02-13,1176,312,235,0,4,0,0,1,0
2017-02-14,893,208,110,0,0,0,0,0,0
2017-02-15,873,231,121,0,0,0,0,8,0
2017-02-16,892,250,117,0,0,0,0,1,0
2017-02-17,954,255,125,0,0,0,0,0,0
2017-02-18,1055,286,141,0,2,0,0,1,0
2017-02-19,1274,360,266,0,2,0,0,18,0
2017-02-20,1272,304,218,0,3,0,0,0,0
2017-02-21,980,210,107,0,1,0,0,0,0
2017-02-22,936,239,104,0,0,0,0,7,0
2017-02-23,953,277,112,0,0,0,0,0,0
2017-02-24,877,213,119,0,0,0,0,13,0
2017-02-25,1061,243,137,0,0,0,0,0,0
2017-02-26,1270,367,238,0,2,0,0,0,0
2017-02-27,1175,364,218,0,7,0,0,14,0
2017-02-28,853,227,111,0,0,0,0,0,0
2017-03-01,1070,249,139,0,0,0,0,0,0
2017-03-02,1141,324,206,0,2,0,0,16,0
2017-03-03,875,184,118,0,0,0,0,0,0
2017-03-04,992,272,150,0,0,0,0,2,0
2017-03-05,1282,363,256,0,0,0,0,0,0
2017-03-06,1164,330,248,0,1,0,0,0,0
2017-03-07,957,229,110,0,0,0,0,0,0
