date,Solo,Random 2v2,Random 3v3,Random 4v4,Arranged 2v2,Arranged 3v3,Arranged 4v4,Tournament,FFA
2016-12-31,42,0,24,0,0,0,0,0,0
2017-01-01,603,2,225,0,0,0,0,1,0
2017-01-02,562,0,235,0,0,0,0,0,0
2017-01-03,455,0,186,0,0,0,0,14,0
2017-01-04,532,0,190,0,0,0,0,0,0
2017-01-05,434,0,183,0,0,0,0,3,0
2017-01-06,494,0,189,0,1,0,0,0,0
2017-01-07,623,0,277,0,0,0,0,33,0
2017-01-08,543,0,212,0,0,0,0,0,0
2017-01-09,411,0,137,0,0,0,0,0,0
2017-01-10,369,0,162,0,1,0,0,29,0
2017-01-11,442,0,180,0,1,0,0,1,0
2017-01-12,472,0,203,0,0,0,0,22,0
2017-01-13,549,0,205,0,0,0,0,0,0
2017-01-14,630,0,264,0,0,0,0,0,1
2017-01-15,585,0,227,0,0,0,0,26,0
2017-01-16,574,0,215,0,0,0,0,0,0
2017-01-17,421,0,162,0,0,0,0,1,0
2017-01-18,443,0,164,0,0,0,0,13,0
2017-01-19,336,0,157,0,0,0,0,0,0
2017-01-20,573,0,168,0,0,0,0,42,0
2017-01-21,624,1,233,0,0,0,0,0,0
2017-01-22,582,0,234,0,0,0,0,0,0
2017-01-23,442,0,148,0,0,0,0,0,0
2017-01-24,424,0,137,0,0,0,0,13,0
2017-01-25,438,0,172,0,0,0,0,1,0
2017-01-26,407,0,174,0,0,0,0,14,0
2017-01-27,488,0,202,0,0,0,0,0,0
2017-01-28,510,0,282,0,0,0,0,34,0
2017-01-29,487,1,236,0,0,0,0,1,0
2017-01-30,430,0,212,0,0,0,0,0,0
2017-01-31,303,1,167,0,0,0,0,11,0
2017-02-01,414,0,176,0,0,0,0,2,0
2017-02-02,388,0,173,0,0,0,0,14,0
2017-02-03,449,0,178,0,0,0,0,1,0
2017-02-04,480,0,242,0,0,0,0,0,0
2017-02-05,396,0,208,0,0,0,0,7,0
2017-02-06,339,0,187,0,0,0,0,0,0
2017-02-07,518,1,195,0,0,0,0,0,0
2017-02-08,340,0,151,0,0,0,0,9,0
2017-02-09,470,0,164,0,0,0,0,0,0
2017-02-10,446,1,177,0,0,0,0,20,0
2017-02-11,548,2,252,0,0,0,0,0,0
2017-02-12,433,0,243,0,0,0,0,0,0
2017-02-13,393,0,167,0,0,0,0,0,0
2017-02-14,340,0,156,0,0,0,0,8,0
2017-02-15,408,0,155,0,0,0,0,0,0
2017-02-16,383,0,162,0,0,0,0,0,0
2017-02-17,480,0,214,0,0,0,0,0,0
2017-02-18,556,0,218,0,0,0,0,25,0
2017-02-19,505,4,212,0,0,0,0,0,0
2017-02-20,408,0,213,0,0,0,0,0,0
2017-02-21,339,2,168,0,0,0,0,21,0
2017-02-22,379,0,185,0,1,0,0,1,0
2017-02-23,400,1,174,0,0,0,0,23,0
2017-02-24,540,0,202,0,0,0,0,0,0
2017-02-25,663,9,234,0,0,0,0,0,0
2017-02-26,575,14,197,0,0,0,0,24,0
2017-02-27,397,2,162,0,0,0,0,0,0
2017-02-28,433,0,170,0,0,0,0,0,0
2017-03-01,338,3,160,0,0,0,0,14,0
