date,Solo,Random 2v2,Random 3v3,Random 4v4,Arranged 2v2,Arranged 3v3,Arranged 4v4,Tournament,FFA
2017-01-01,1208,404,76,360,61,0,0,4,4
2017-01-02,2800,1040,257,871,298,4,0,1,29
2017-01-03,2569,1004,258,871,311,0,0,0,20
2017-01-04,2784,1000,218,915,290,2,0,216,22
2017-01-05,2871,940,245,862,334,11,0,23,31
2017-01-06,2995,1079,255,918,325,0,0,46,23
2017-01-07,2810,1217,291,999,430,11,6,381,28
2017-01-08,3202,1261,336,1067,505,20,5,58,27
2017-01-09,2774,1074,290,893,289,24,4,11,14
2017-01-10,2493,890,223,792,233,3,10,0,22
2017-01-11,2477,918,238,772,175,2,0,373,14
2017-01-12,2430,833,214,765,204,1,1,36,19
2017-01-13,2359,907,233,813,262,1,0,447,20
2017-01-14,2833,1031,270,934,345,9,23,59,29
2017-01-15,2947,1006,280,1037,304,5,0,425,39
2017-01-16,2301,918,227,863,306,1,23,6,33
2017-01-17,2247,894,221,816,228,4,15,0,14
2017-01-18,2323,929,196,834,234,4,0,65,22
2017-01-19,2375,935,244,779,220,11,0,372,14
2017-01-20,2501,926,215,835,196,2,0,14,15
2017-01-21,2714,973,257,878,291,6,0,323,25
2017-01-22,2983,1091,314,1030,281,1,0,51,42
2017-01-23,2536,856,251,886,238,16,0,5,23
2017-01-24,2359,955,261,822,247,6,0,0,31
2017-01-25,2362,969,230,784,259,1,0,217,22
2017-01-26,2468,918,228,802,245,2,0,28,24
2017-01-27,2529,944,205,798,206,0,0,320,19
2017-01-28,2799,1138,262,947,336,8,4,426,31
2017-01-29,3006,1135,300,1047,337,7,16,41,45
2017-01-30,2444,999,217,898,174,0,18,10,28
2017-01-31,2519,935,227,885,212,2,19,0,17
2017-02-01,2578,946,208,840,184,3,0,249,12
2017-02-02,2375,966,237,882,207,2,0,17,18
2017-02-03,2514,937,227,867,210,3,21,228,20
2017-02-04,2985,1074,287,991,338,1,18,87,34
2017-02-05,3002,1109,293,1066,340,1,20,361,33
2017-02-06,2559,921,265,924,232,10,0,5,15
2017-02-07,2445,868,253,857,203,7,18,0,16
2017-02-08,2245,822,189,818,198,15,18,10,19
2017-02-09,2295,917,200,802,216,6,0,283,13
2017-02-10,2417,855,199,822,251,4,0,67,17
2017-02-11,2682,996,255,954,279,2,0,445,21
2017-02-12,2750,1095,304,1015,326,7,0,30,24
2017-02-13,2582,973,218,871,237,3,0,9,29
2017-02-14,2474,935,187,830,226,3,1,0,12
2017-02-15,2410,803,201,736,186,0,0,126,14
2017-02-16,2282,880,148,700,214,11,0,16,16
2017-02-17,2383,852,191,825,208,0,0,34,16
2017-02-18,2673,1000,228,899,313,3,1,444,22
2017-02-19,2866,1078,295,988,411,5,0,32,43
2017-02-20,2488,961,204,861,226,1,0,7,17
2017-02-21,2440,912,214,838,206,5,0,0,22
2017-02-22,2363,842,212,812,192,0,0,390,15
2017-02-23,2589,923,221,829,240,6,1,42,23
2017-02-24,2588,965,234,828,261,6,1,396,24
2017-02-25,2790,1154,274,945,338,7,0,71,24
2017-02-26,2865,1209,296,1066,356,10,0,296,35
2017-02-27,2511,924,203,888,281,10,0,12,40
2017-02-28,2543,866,187,820,189,1,0,0,23
2017-03-01,2536,896,164,781,191,0,1,36,20
2017-03-02,2312,833,160,754,212,1,0,366,19
2017-03-03,2358,854,185,785,188,0,0,17,12
2017-03-04,2751,1021,250,990,232,0,2,423,27
2017-03-05,2870,1035,240,974,312,3,0,22,40
2017-03-06,2478,860,243,835,218,7,0,5,21
2017-03-07,2373,898,200,766,196,5,0,0,14
2017-03-08,2322,928,220,770,217,1,0,275,15
2017-03-09,2433,876,210,736,173,5,0,27,15
2017-03-10,2562,936,219,750,228,4,0,215,20
2017-03-11,2717,1015,255,892,270,1,0,393,27
2017-03-12,3039,1160,318,1169,345,1,1,58,41
2017-03-13,2266,823,191,748,190,4,18,1,17
2017-03-14,2234,843,192,777,159,0,0,221,11
2017-03-15,1957,731,175,678,157,1,0,134,7
2017-03-16,2097,826,177,734,153,0,0,2,16
2017-03-17,2391,852,203,715,176,0,0,182,17
2017-03-18,2757,998,227,908,240,5,2,93,21
2017-03-19,2764,1017,258,960,279,0,2,397,37
2017-03-20,2244,861,178,781,191,3,0,0,19
2017-03-21,2276,881,176,774,174,2,0,16,15
2017-03-22,2099,828,169,737,143,1,0,161,17
2017-03-23,2262,892,142,734,206,5,1,81,15
2017-03-24,2296,888,128,737,174,0,0,48,15
2017-03-25,2670,987,174,924,225,0,0,380,21
2017-03-26,2673,994,184,864,253,1,0,19,23
2017-03-27,2249,810,164,807,198,0,0,1,16
2017-03-28,2319,842,164,715,178,4,0,91,12
2017-03-29,2214,793,152,759,190,12,8,78,13
