weekday,hour,games
0,0,17
0,1,9
0,2,8
0,3,2
0,4,4
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,1
0,11,0
0,12,2
0,13,8
0,14,5
0,15,11
0,16,9
0,17,7
0,18,5
0,19,17
0,20,34
0,21,37
0,22,46
0,23,38
1,0,27
1,1,6
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,2
1,17,0
1,18,6
1,19,14
1,20,24
1,21,19
1,22,24
1,23,20
2,0,19
2,1,11
2,2,4
2,3,2
2,4,1
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,2
2,14,0
2,15,0
2,16,2
2,17,2
2,18,6
2,19,10
2,20,7
2,21,20
2,22,29
2,23,26
3,0,13
3,1,1
3,2,4
3,3,2
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,1
3,14,5
3,15,4
3,16,1
3,17,2
3,18,4
3,19,10
3,20,12
3,21,17
3,22,28
3,23,21
4,0,7
4,1,5
4,2,1
4,3,1
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,2
4,14,2
4,15,1
4,16,1
4,17,4
4,18,3
4,19,2
4,20,7
4,21,25
4,22,19
4,23,25
5,0,17
5,1,9
5,2,2
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,13,1
5,14,0
5,15,1
5,16,2
5,17,3
5,18,6
5,19,8
5,20,10
5,21,17
5,22,20
5,23,27
6,0,19
6,1,14
6,2,7
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,0
6,11,1
6,12,2
6,13,7
6,14,4
6,15,17
6,16,13
6,17,15
6,18,11
6,19,4
6,20,9
6,21,25
6,22,25
6,23,23
