weekday,hour,games
0,0,741
0,1,590
0,2,399
0,3,193
0,4,70
0,5,11
0,6,8
0,7,4
0,8,31
0,9,96
0,10,202
0,11,295
0,12,394
0,13,469
0,14,516
0,15,561
0,16,636
0,17,698
0,18,714
0,19,761
0,20,831
0,21,882
0,22,905
0,23,794
1,0,643
1,1,427
1,2,223
1,3,101
1,4,18
1,5,7
1,6,3
1,7,5
1,8,11
1,9,35
1,10,70
1,11,115
1,12,174
1,13,239
1,14,305
1,15,346
1,16,410
1,17,461
1,18,538
1,19,632
1,20,779
1,21,858
1,22,857
1,23,789
2,0,584
2,1,414
2,2,237
2,3,93
2,4,25
2,5,4
2,6,5
2,7,6
2,8,11
2,9,39
2,10,68
2,11,105
2,12,156
2,13,216
2,14,242
2,15,320
2,16,362
2,17,387
2,18,489
2,19,591
2,20,728
2,21,803
2,22,824
2,23,716
3,0,576
3,1,377
3,2,214
3,3,97
3,4,20
3,5,9
3,6,2
3,7,5
3,8,15
3,9,33
3,10,69
3,11,92
3,12,158
3,13,227
3,14,215
3,15,287
3,16,327
3,17,360
3,18,456
3,19,552
3,20,722
3,21,819
3,22,802
3,23,755
4,0,547
4,1,420
4,2,217
4,3,91
4,4,26
4,5,11
4,6,3
4,7,6
4,8,13
4,9,30
4,10,58
4,11,111
4,12,167
4,13,224
4,14,260
4,15,305
4,16,345
4,17,397
4,18,478
4,19,578
4,20,697
4,21,832
4,22,817
4,23,746
5,0,595
5,1,422
5,2,250
5,3,120
5,4,30
5,5,5
5,6,4
5,7,5
5,8,12
5,9,32
5,10,76
5,11,113
5,12,169
5,13,213
5,14,283
5,15,318
5,16,370
5,17,440
5,18,478
5,19,517
5,20,650
5,21,747
5,22,806
5,23,781
6,0,702
6,1,534
6,2,344
6,3,160
6,4,45
6,5,9
6,6,4
6,7,8
6,8,32
6,9,85
6,10,156
6,11,274
6,12,376
6,13,441
6,14,465
6,15,531
6,16,601
6,17,564
6,18,608
6,19,603
6,20,703
6,21,747
6,22,784
6,23,803
