weekday,hour,games
0,0,1359
0,1,1073
0,2,739
0,3,528
0,4,363
0,5,272
0,6,215
0,7,282
0,8,404
0,9,525
0,10,754
0,11,1052
0,12,1172
0,13,1332
0,14,1347
0,15,1436
0,16,1530
0,17,1584
0,18,1582
0,19,1551
0,20,1740
0,21,1770
0,22,1705
0,23,1488
1,0,1205
1,1,857
1,2,581
1,3,436
1,4,271
1,5,179
1,6,157
1,7,169
1,8,213
1,9,343
1,10,526
1,11,626
1,12,809
1,13,889
1,14,969
1,15,1061
1,16,1216
1,17,1254
1,18,1416
1,19,1492
1,20,1660
1,21,1720
1,22,1684
1,23,1536
2,0,1118
2,1,806
2,2,557
2,3,375
2,4,259
2,5,157
2,6,158
2,7,169
2,8,237
2,9,390
2,10,538
2,11,643
2,12,769
2,13,815
2,14,924
2,15,1017
2,16,1164
2,17,1179
2,18,1149
2,19,1432
2,20,1533
2,21,1775
2,22,1631
2,23,1406
3,0,999
3,1,771
3,2,521
3,3,361
3,4,256
3,5,218
3,6,164
3,7,173
3,8,223
3,9,360
3,10,482
3,11,636
3,12,705
3,13,826
3,14,874
3,15,939
3,16,1110
3,17,1088
3,18,1208
3,19,1417
3,20,1544
3,21,1655
3,22,1612
3,23,1514
4,0,1119
4,1,789
4,2,531
4,3,359
4,4,245
4,5,175
4,6,146
4,7,156
4,8,235
4,9,348
4,10,479
4,11,631
4,12,718
4,13,794
4,14,963
4,15,1014
4,16,1229
4,17,1216
4,18,1337
4,19,1288
4,20,1464
4,21,1672
4,22,1708
4,23,1546
5,0,1185
5,1,838
5,2,636
5,3,408
5,4,246
5,5,216
5,6,165
5,7,174
5,8,208
5,9,352
5,10,501
5,11,620
5,12,703
5,13,836
5,14,982
5,15,997
5,16,1134
5,17,1318
5,18,1442
5,19,1333
5,20,1450
5,21,1561
5,22,1574
5,23,1550
6,0,1300
6,1,997
6,2,746
6,3,515
6,4,343
6,5,267
6,6,209
6,7,258
6,8,353
6,9,609
6,10,797
6,11,1026
6,12,1209
6,13,1313
6,14,1269
6,15,1394
6,16,1523
6,17,1511
6,18,1587
6,19,1452
6,20,1511
6,21,1513
6,22,1479
6,23,1496
