weekday,hour,games
0,0,386
0,1,274
0,2,111
0,3,28
0,4,2
0,5,1
0,6,0
0,7,0
0,8,0
0,9,2
0,10,20
0,11,54
0,12,92
0,13,157
0,14,218
0,15,256
0,16,344
0,17,350
0,18,325
0,19,314
0,20,348
0,21,376
0,22,390
0,23,359
1,0,266
1,1,129
1,2,21
1,3,2
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,2
1,11,7
1,12,19
1,13,24
1,14,41
1,15,39
1,16,75
1,17,90
1,18,116
1,19,194
1,20,233
1,21,296
1,22,317
1,23,284
2,0,230
2,1,117
2,2,23
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,4
2,12,8
2,13,13
2,14,22
2,15,36
2,16,60
2,17,93
2,18,111
2,19,166
2,20,239
2,21,270
2,22,298
2,23,293
3,0,207
3,1,121
3,2,27
3,3,2
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,4
3,11,8
3,12,17
3,13,16
3,14,40
3,15,53
3,16,67
3,17,86
3,18,124
3,19,181
3,20,231
3,21,309
3,22,347
3,23,316
4,0,238
4,1,114
4,2,19
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,1
4,11,2
4,12,6
4,13,16
4,14,22
4,15,34
4,16,45
4,17,84
4,18,111
4,19,142
4,20,204
4,21,264
4,22,302
4,23,311
5,0,208
5,1,116
5,2,21
5,3,2
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,1
5,11,2
5,12,9
5,13,19
5,14,35
5,15,52
5,16,71
5,17,87
5,18,113
5,19,165
5,20,233
5,21,307
5,22,337
5,23,364
6,0,305
6,1,191
6,2,66
6,3,9
6,4,1
6,5,0
6,6,0
6,7,0
6,8,0
6,9,1
6,10,8
6,11,35
6,12,71
6,13,114
6,14,130
6,15,177
6,16,223
6,17,262
6,18,255
6,19,254
6,20,296
6,21,348
6,22,388
6,23,403
