weekday,hour,games
0,0,107
0,1,119
0,2,122
0,3,126
0,4,210
0,5,240
0,6,317
0,7,397
0,8,426
0,9,462
0,10,532
0,11,506
0,12,510
0,13,471
0,14,541
0,15,545
0,16,560
0,17,567
0,18,596
0,19,497
0,20,395
0,21,220
0,22,139
0,23,96
1,0,112
1,1,91
1,2,110
1,3,163
1,4,242
1,5,363
1,6,430
1,7,494
1,8,570
1,9,594
1,10,692
1,11,674
1,12,631
1,13,621
1,14,653
1,15,722
1,16,640
1,17,628
1,18,522
1,19,396
1,20,291
1,21,192
1,22,130
1,23,85
2,0,79
2,1,81
2,2,80
2,3,118
2,4,179
2,5,239
2,6,315
2,7,390
2,8,428
2,9,489
2,10,497
2,11,527
2,12,508
2,13,544
2,14,567
2,15,593
2,16,590
2,17,568
2,18,434
2,19,330
2,20,256
2,21,166
2,22,134
2,23,104
3,0,76
3,1,62
3,2,74
3,3,111
3,4,180
3,5,243
3,6,298
3,7,346
3,8,383
3,9,437
3,10,423
3,11,420
3,12,410
3,13,439
3,14,580
3,15,549
3,16,549
3,17,516
3,18,419
3,19,328
3,20,224
3,21,173
3,22,123
3,23,73
4,0,54
4,1,65
4,2,101
4,3,118
4,4,145
4,5,224
4,6,223
4,7,283
4,8,344
4,9,382
4,10,390
4,11,383
4,12,420
4,13,449
4,14,522
4,15,501
4,16,504
4,17,480
4,18,402
4,19,335
4,20,257
4,21,158
4,22,116
4,23,97
5,0,64
5,1,55
5,2,48
5,3,85
5,4,163
5,5,203
5,6,217
5,7,280
5,8,297
5,9,346
5,10,430
5,11,433
5,12,414
5,13,434
5,14,450
5,15,475
5,16,449
5,17,523
5,18,409
5,19,329
5,20,216
5,21,187
5,22,110
5,23,64
6,0,82
6,1,62
6,2,70
6,3,114
6,4,148
6,5,205
6,6,234
6,7,329
6,8,396
6,9,359
6,10,399
6,11,396
6,12,382
6,13,435
6,14,493
6,15,525
6,16,520
6,17,531
6,18,422
6,19,372
6,20,299
6,21,178
6,22,156
6,23,111
