weekday,hour,games
0,0,286
0,1,241
0,2,181
0,3,126
0,4,102
0,5,69
0,6,61
0,7,65
0,8,65
0,9,71
0,10,89
0,11,106
0,12,118
0,13,113
0,14,123
0,15,132
0,16,159
0,17,174
0,18,183
0,19,232
0,20,276
0,21,298
0,22,298
0,23,266
1,0,247
1,1,208
1,2,144
1,3,80
1,4,54
1,5,56
1,6,47
1,7,37
1,8,44
1,9,37
1,10,57
1,11,64
1,12,59
1,13,47
1,14,46
1,15,54
1,16,83
1,17,120
1,18,175
1,19,208
1,20,271
1,21,288
1,22,273
1,23,268
2,0,242
2,1,191
2,2,138
2,3,91
2,4,78
2,5,44
2,6,51
2,7,45
2,8,56
2,9,54
2,10,58
2,11,55
2,12,38
2,13,34
2,14,40
2,15,35
2,16,70
2,17,103
2,18,140
2,19,204
2,20,243
2,21,261
2,22,253
2,23,242
3,0,229
3,1,178
3,2,129
3,3,82
3,4,69
3,5,51
3,6,42
3,7,32
3,8,36
3,9,50
3,10,56
3,11,56
3,12,54
3,13,34
3,14,31
3,15,33
3,16,69
3,17,104
3,18,140
3,19,177
3,20,238
3,21,258
3,22,274
3,23,271
4,0,220
4,1,193
4,2,124
4,3,97
4,4,74
4,5,51
4,6,43
4,7,44
4,8,45
4,9,47
4,10,51
4,11,53
4,12,46
4,13,29
4,14,26
4,15,48
4,16,77
4,17,105
4,18,175
4,19,200
4,20,249
4,21,261
4,22,242
4,23,244
5,0,230
5,1,180
5,2,130
5,3,93
5,4,58
5,5,49
5,6,56
5,7,41
5,8,44
5,9,47
5,10,56
5,11,44
5,12,51
5,13,44
5,14,38
5,15,55
5,16,83
5,17,116
5,18,167
5,19,217
5,20,246
5,21,238
5,22,293
5,23,281
6,0,264
6,1,234
6,2,189
6,3,125
6,4,105
6,5,74
6,6,60
6,7,56
6,8,68
6,9,76
6,10,101
6,11,121
6,12,128
6,13,107
6,14,125
6,15,127
6,16,147
6,17,177
6,18,208
6,19,223
6,20,257
6,21,304
6,22,279
6,23,264
