weekday,hour,games
0,0,703
0,1,532
0,2,381
0,3,365
0,4,288
0,5,287
0,6,278
0,7,301
0,8,320
0,9,413
0,10,442
0,11,495
0,12,556
0,13,562
0,14,557
0,15,601
0,16,676
0,17,720
0,18,691
0,19,690
0,20,753
0,21,716
0,22,686
0,23,597
1,0,498
1,1,400
1,2,324
1,3,275
1,4,245
1,5,240
1,6,287
1,7,261
1,8,243
1,9,289
1,10,279
1,11,330
1,12,366
1,13,374
1,14,404
1,15,501
1,16,525
1,17,588
1,18,652
1,19,713
1,20,737
1,21,743
1,22,704
1,23,612
2,0,489
2,1,364
2,2,275
2,3,268
2,4,234
2,5,264
2,6,262
2,7,245
2,8,265
2,9,268
2,10,317
2,11,321
2,12,330
2,13,302
2,14,343
2,15,382
2,16,485
2,17,544
2,18,516
2,19,691
2,20,692
2,21,758
2,22,741
2,23,642
3,0,530
3,1,370
3,2,341
3,3,286
3,4,244
3,5,266
3,6,245
3,7,242
3,8,253
3,9,245
3,10,261
3,11,270
3,12,292
3,13,326
3,14,333
3,15,423
3,16,503
3,17,546
3,18,637
3,19,685
3,20,689
3,21,774
3,22,737
3,23,594
4,0,504
4,1,380
4,2,295
4,3,251
4,4,197
4,5,239
4,6,247
4,7,228
4,8,243
4,9,273
4,10,285
4,11,297
4,12,316
4,13,311
4,14,363
4,15,429
4,16,497
4,17,537
4,18,599
4,19,613
4,20,705
4,21,772
4,22,801
4,23,668
5,0,504
5,1,357
5,2,280
5,3,244
5,4,264
5,5,223
5,6,250
5,7,270
5,8,296
5,9,315
5,10,345
5,11,320
5,12,321
5,13,378
5,14,386
5,15,502
5,16,564
5,17,649
5,18,708
5,19,689
5,20,810
5,21,820
5,22,853
5,23,744
6,0,665
6,1,517
6,2,428
6,3,344
6,4,318
6,5,288
6,6,292
6,7,341
6,8,366
6,9,459
6,10,500
6,11,523
6,12,593
6,13,600
6,14,553
6,15,647
6,16,732
6,17,734
6,18,755
6,19,715
6,20,795
6,21,826
6,22,853
6,23,797
