weekday,hour,games
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,73
0,11,20
0,12,40
0,13,15
0,14,5
0,15,6
0,16,2
0,17,2
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,51
2,14,60
2,15,42
2,16,60
2,17,3
2,18,5
2,19,4
2,20,6
2,21,1
2,22,0
2,23,0
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,23
3,14,34
3,15,17
3,16,20
3,17,10
3,18,4
3,19,1
3,20,1
3,21,0
3,22,0
3,23,0
4,0,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0
4,14,0
4,15,81
4,16,8
4,17,72
4,18,12
4,19,8
4,20,4
4,21,2
4,22,0
4,23,0
5,0,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
5,15,103
5,16,16
5,17,57
5,18,15
5,19,7
5,20,8
5,21,6
5,22,3
5,23,0
6,0,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,56
6,11,9
6,12,72
6,13,19
6,14,3
6,15,9
6,16,9
6,17,3
6,18,0
6,19,0
6,20,0
6,21,0
6,22,0
6,23,0
