weekday,hour,games
0,0,0
0,1,2
0,2,0
0,3,6
0,4,5
0,5,5
0,6,13
0,7,12
0,8,13
0,9,10
0,10,6
0,11,6
0,12,1
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,1
1,0,2
1,1,1
1,2,2
1,3,6
1,4,10
1,5,7
1,6,11
1,7,19
1,8,35
1,9,16
1,10,4
1,11,0
1,12,0
1,13,0
1,14,0
1,15,2
1,16,0
1,17,1
1,18,0
1,19,1
1,20,0
1,21,0
1,22,0
1,23,0
2,0,0
2,1,0
2,2,0
2,3,1
2,4,0
2,5,3
2,6,5
2,7,11
2,8,11
2,9,8
2,10,8
2,11,2
2,12,0
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,1
3,0,0
3,1,0
3,2,0
3,3,0
3,4,1
3,5,5
3,6,8
3,7,9
3,8,5
3,9,4
3,10,2
3,11,1
3,12,0
3,13,0
3,14,9
3,15,0
3,16,0
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,0
4,0,0
4,1,1
4,2,2
4,3,0
4,4,1
4,5,2
4,6,7
4,7,11
4,8,17
4,9,13
4,10,6
4,11,1
4,12,1
4,13,0
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,2
4,20,0
4,21,0
4,22,0
4,23,1
5,0,0
5,1,1
5,2,0
5,3,1
5,4,0
5,5,4
5,6,3
5,7,3
5,8,5
5,9,6
5,10,3
5,11,2
5,12,0
5,13,0
5,14,0
5,15,0
5,16,0
5,17,0
5,18,0
5,19,0
5,20,0
5,21,0
5,22,0
5,23,0
6,0,0
6,1,0
6,2,1
6,3,1
6,4,1
6,5,2
6,6,5
6,7,12
6,8,20
6,9,16
6,10,4
6,11,4
6,12,2
6,13,0
6,14,0
6,15,0
6,16,0
6,17,0
6,18,0
6,19,0
6,20,0
6,21,0
6,22,0
6,23,0
