weekday,hour,games
0,0,45
0,1,55
0,2,45
0,3,46
0,4,37
0,5,25
0,6,9
0,7,0
0,8,2
0,9,1
0,10,0
0,11,0
0,12,0
0,13,0
0,14,2
0,15,7
0,16,14
0,17,23
0,18,34
0,19,36
0,20,42
0,21,39
0,22,46
0,23,51
1,0,61
1,1,52
1,2,45
1,3,46
1,4,36
1,5,14
1,6,5
1,7,3
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,1
1,16,3
1,17,8
1,18,9
1,19,11
1,20,11
1,21,20
1,22,20
1,23,28
2,0,35
2,1,34
2,2,38
2,3,39
2,4,27
2,5,15
2,6,3
2,7,0
2,8,1
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,1
2,17,4
2,18,10
2,19,10
2,20,10
2,21,17
2,22,22
2,23,15
3,0,20
3,1,29
3,2,21
3,3,30
3,4,26
3,5,20
3,6,9
3,7,1
3,8,2
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,1
3,17,6
3,18,10
3,19,6
3,20,14
3,21,13
3,22,20
3,23,29
4,0,33
4,1,25
4,2,35
4,3,33
4,4,31
4,5,19
4,6,3
4,7,0
4,8,0
4,9,0
4,10,0
4,11,1
4,12,0
4,13,0
4,14,0
4,15,0
4,16,2
4,17,6
4,18,3
4,19,6
4,20,9
4,21,17
4,22,28
4,23,26
5,0,22
5,1,28
5,2,31
5,3,31
5,4,24
5,5,11
5,6,8
5,7,5
5,8,1
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
5,15,0
5,16,1
5,17,1
5,18,6
5,19,12
5,20,13
5,21,22
5,22,29
5,23,26
6,0,31
6,1,32
6,2,31
6,3,31
6,4,28
6,5,16
6,6,8
6,7,0
6,8,0
6,9,0
6,10,0
6,11,0
6,12,0
6,13,0
6,14,0
6,15,1
6,16,13
6,17,23
6,18,23
6,19,22
6,20,27
6,21,30
6,22,42
6,23,44
