weekday,hour,games
0,0,1234
0,1,1328
0,2,1406
0,3,1423
0,4,1470
0,5,1473
0,6,1435
0,7,1457
0,8,1415
0,9,1363
0,10,1129
0,11,908
0,12,578
0,13,356
0,14,169
0,15,86
0,16,49
0,17,50
0,18,110
0,19,267
0,20,540
0,21,831
0,22,1113
0,23,1278
1,0,1382
1,1,1512
1,2,1626
1,3,1698
1,4,1771
1,5,1837
1,6,1830
1,7,1708
1,8,1610
1,9,1465
1,10,1134
1,11,735
1,12,428
1,13,233
1,14,101
1,15,38
1,16,15
1,17,26
1,18,70
1,19,173
1,20,336
1,21,515
1,22,666
1,23,810
2,0,913
2,1,1047
2,2,1177
2,3,1288
2,4,1477
2,5,1605
2,6,1711
2,7,1745
2,8,1584
2,9,1433
2,10,1069
2,11,722
2,12,418
2,13,213
2,14,97
2,15,48
2,16,21
2,17,35
2,18,72
2,19,178
2,20,316
2,21,532
2,22,659
2,23,747
3,0,877
3,1,978
3,2,1120
3,3,1235
3,4,1376
3,5,1496
3,6,1614
3,7,1645
3,8,1501
3,9,1356
3,10,1076
3,11,687
3,12,360
3,13,182
3,14,94
3,15,35
3,16,18
3,17,23
3,18,64
3,19,140
3,20,286
3,21,463
3,22,604
3,23,700
4,0,858
4,1,961
4,2,1081
4,3,1182
4,4,1275
4,5,1415
4,6,1403
4,7,1468
4,8,1424
4,9,1261
4,10,999
4,11,678
4,12,409
4,13,199
4,14,88
4,15,40
4,16,19
4,17,19
4,18,62
4,19,160
4,20,304
4,21,480
4,22,593
4,23,750
5,0,822
5,1,970
5,2,1037
5,3,1157
5,4,1289
5,5,1385
5,6,1468
5,7,1523
5,8,1461
5,9,1296
5,10,1043
5,11,710
5,12,413
5,13,192
5,14,100
5,15,42
5,16,13
5,17,19
5,18,64
5,19,164
5,20,314
5,21,520
5,22,644
5,23,758
6,0,899
6,1,999
6,2,1126
6,3,1247
6,4,1350
6,5,1367
6,6,1370
6,7,1415
6,8,1390
6,9,1337
6,10,1150
6,11,844
6,12,533
6,13,281
6,14,126
6,15,60
6,16,43
6,17,44
6,18,112
6,19,279
6,20,490
6,21,777
6,22,966
6,23,1128
