weekday,hour,games
0,0,4119
0,1,4015
0,2,3988
0,3,3846
0,4,3677
0,5,2978
0,6,2540
0,7,1745
0,8,1287
0,9,897
0,10,692
0,11,623
0,12,722
0,13,904
0,14,1339
0,15,1977
0,16,2726
0,17,3241
0,18,3642
0,19,3841
0,20,3946
0,21,4230
0,22,4343
0,23,4672
1,0,4910
1,1,4670
1,2,4752
1,3,4477
1,4,3806
1,5,2804
1,6,2009
1,7,1406
1,8,976
1,9,726
1,10,574
1,11,538
1,12,623
1,13,830
1,14,1054
1,15,1366
1,16,1896
1,17,2116
1,18,2475
1,19,2819
1,20,3251
1,21,3390
1,22,3520
1,23,4007
2,0,4374
2,1,4536
2,2,4657
2,3,4378
2,4,3812
2,5,2975
2,6,2185
2,7,1424
2,8,986
2,9,700
2,10,586
2,11,510
2,12,632
2,13,790
2,14,1034
2,15,1480
2,16,1848
2,17,2215
2,18,2460
2,19,2731
2,20,2992
2,21,3137
2,22,3431
2,23,3542
3,0,4003
3,1,4488
3,2,4606
3,3,4401
3,4,3734
3,5,2905
3,6,2060
3,7,1293
3,8,888
3,9,680
3,10,571
3,11,503
3,12,636
3,13,760
3,14,1008
3,15,1358
3,16,1794
3,17,2072
3,18,2443
3,19,2685
3,20,2939
3,21,3196
3,22,3437
3,23,3654
4,0,3926
4,1,3987
4,2,4174
4,3,3988
4,4,3520
4,5,2838
4,6,2013
4,7,1397
4,8,982
4,9,691
4,10,526
4,11,483
4,12,599
4,13,787
4,14,1084
4,15,1447
4,16,1833
4,17,2146
4,18,2254
4,19,2569
4,20,2798
4,21,3067
4,22,3300
4,23,3690
5,0,3749
5,1,3840
5,2,4146
5,3,4184
5,4,3619
5,5,2799
5,6,1995
5,7,1336
5,8,1001
5,9,659
5,10,504
5,11,511
5,12,605
5,13,815
5,14,1047
5,15,1452
5,16,1883
5,17,2154
5,18,2548
5,19,2798
5,20,3085
5,21,3288
5,22,3645
5,23,3901
6,0,3803
6,1,3746
6,2,3844
6,3,3986
6,4,3742
6,5,3019
6,6,2432
6,7,1689
6,8,1210
6,9,880
6,10,644
6,11,550
6,12,724
6,13,942
6,14,1294
6,15,1943
6,16,2532
6,17,3142
6,18,3471
6,19,3502
6,20,3548
6,21,3746
6,22,3973
6,23,4125
