weekday,hour,games
0,0,98
0,1,113
0,2,125
0,3,137
0,4,127
0,5,108
0,6,73
0,7,48
0,8,21
0,9,9
0,10,8
0,11,4
0,12,1
0,13,0
0,14,1
0,15,5
0,16,26
0,17,38
0,18,53
0,19,51
0,20,92
0,21,117
0,22,123
0,23,158
1,0,156
1,1,159
1,2,137
1,3,122
1,4,104
1,5,78
1,6,39
1,7,23
1,8,19
1,9,7
1,10,2
1,11,0
1,12,1
1,13,1
1,14,0
1,15,6
1,16,11
1,17,14
1,18,17
1,19,26
1,20,30
1,21,62
1,22,84
1,23,116
2,0,131
2,1,137
2,2,165
2,3,147
2,4,124
2,5,90
2,6,41
2,7,26
2,8,6
2,9,3
2,10,0
2,11,0
2,12,2
2,13,0
2,14,0
2,15,3
2,16,9
2,17,15
2,18,35
2,19,16
2,20,31
2,21,44
2,22,68
2,23,61
3,0,73
3,1,114
3,2,151
3,3,107
3,4,92
3,5,53
3,6,37
3,7,12
3,8,7
3,9,0
3,10,0
3,11,1
3,12,0
3,13,3
3,14,2
3,15,6
3,16,11
3,17,25
3,18,25
3,19,26
3,20,37
3,21,40
3,22,47
3,23,71
4,0,91
4,1,112
4,2,151
4,3,118
4,4,96
4,5,71
4,6,43
4,7,16
4,8,7
4,9,7
4,10,5
4,11,0
4,12,0
4,13,0
4,14,1
4,15,1
4,16,9
4,17,12
4,18,20
4,19,27
4,20,34
4,21,51
4,22,60
4,23,67
5,0,74
5,1,100
5,2,122
5,3,125
5,4,100
5,5,65
5,6,38
5,7,26
5,8,4
5,9,3
5,10,0
5,11,0
5,12,1
5,13,2
5,14,4
5,15,2
5,16,14
5,17,19
5,18,24
5,19,31
5,20,36
5,21,55
5,22,68
5,23,87
6,0,82
6,1,117
6,2,128
6,3,145
6,4,122
6,5,104
6,6,77
6,7,41
6,8,24
6,9,7
6,10,6
6,11,1
6,12,0
6,13,0
6,14,2
6,15,14
6,16,22
6,17,29
6,18,65
6,19,74
6,20,91
6,21,86
6,22,120
6,23,94
