weekday,hour,games
0,0,16
0,1,12
0,2,10
0,3,13
0,4,8
0,5,3
0,6,0
0,7,1
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,1
0,15,2
0,16,3
0,17,10
0,18,11
0,19,15
0,20,8
0,21,16
0,22,15
0,23,16
1,0,12
1,1,16
1,2,18
1,3,8
1,4,3
1,5,4
1,6,2
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,1
1,16,3
1,17,3
1,18,5
1,19,3
1,20,9
1,21,9
1,22,7
1,23,15
2,0,10
2,1,10
2,2,16
2,3,11
2,4,5
2,5,2
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,2
2,17,7
2,18,4
2,19,3
2,20,5
2,21,7
2,22,5
2,23,7
3,0,6
3,1,7
3,2,10
3,3,8
3,4,5
3,5,5
3,6,1
3,7,2
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,4
3,17,2
3,18,1
3,19,7
3,20,5
3,21,5
3,22,8
3,23,7
4,0,9
4,1,9
4,2,13
4,3,8
4,4,7
4,5,2
4,6,0
4,7,0
4,8,0
4,9,0
4,10,1
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,3
4,17,0
4,18,3
4,19,4
4,20,6
4,21,8
4,22,8
4,23,9
5,0,3
5,1,11
5,2,8
5,3,4
5,4,1
5,5,3
5,6,2
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
5,15,0
5,16,0
5,17,2
5,18,5
5,19,5
5,20,5
5,21,11
5,22,7
5,23,9
6,0,10
6,1,7
6,2,10
6,3,5
6,4,4
6,5,2
6,6,0
6,7,0
6,8,0
6,9,0
6,10,0
6,11,0
6,12,0
6,13,0
6,14,0
6,15,2
6,16,8
6,17,9
6,18,7
6,19,9
6,20,10
6,21,14
6,22,11
6,23,17
