weekday,hour,games
0,0,93
0,1,81
0,2,83
0,3,79
0,4,63
0,5,56
0,6,35
0,7,18
0,8,9
0,9,6
0,10,3
0,11,3
0,12,5
0,13,5
0,14,8
0,15,22
0,16,37
0,17,63
0,18,97
0,19,107
0,20,109
0,21,122
0,22,125
0,23,125
1,0,152
1,1,131
1,2,117
1,3,94
1,4,73
1,5,44
1,6,20
1,7,11
1,8,6
1,9,5
1,10,1
1,11,1
1,12,2
1,13,3
1,14,6
1,15,10
1,16,12
1,17,27
1,18,38
1,19,62
1,20,73
1,21,88
1,22,99
1,23,101
2,0,126
2,1,120
2,2,111
2,3,125
2,4,87
2,5,54
2,6,28
2,7,9
2,8,13
2,9,7
2,10,6
2,11,1
2,12,2
2,13,4
2,14,5
2,15,10
2,16,20
2,17,35
2,18,34
2,19,49
2,20,63
2,21,71
2,22,77
2,23,75
3,0,87
3,1,95
3,2,104
3,3,78
3,4,60
3,5,37
3,6,12
3,7,8
3,8,5
3,9,4
3,10,5
3,11,5
3,12,1
3,13,3
3,14,4
3,15,4
3,16,11
3,17,12
3,18,36
3,19,35
3,20,64
3,21,56
3,22,64
3,23,80
4,0,89
4,1,101
4,2,106
4,3,77
4,4,75
4,5,30
4,6,23
4,7,12
4,8,4
4,9,4
4,10,3
4,11,4
4,12,3
4,13,4
4,14,6
4,15,7
4,16,13
4,17,22
4,18,34
4,19,42
4,20,52
4,21,63
4,22,65
4,23,78
5,0,88
5,1,96
5,2,94
5,3,68
5,4,51
5,5,40
5,6,12
5,7,12
5,8,4
5,9,4
5,10,3
5,11,4
5,12,2
5,13,6
5,14,6
5,15,14
5,16,19
5,17,27
5,18,40
5,19,56
5,20,42
5,21,63
5,22,63
5,23,85
6,0,82
6,1,83
6,2,94
6,3,78
6,4,72
6,5,51
6,6,21
6,7,8
6,8,8
6,9,8
6,10,5
6,11,4
6,12,4
6,13,2
6,14,9
6,15,16
6,16,41
6,17,52
6,18,57
6,19,70
6,20,78
6,21,70
6,22,89
6,23,98
