weekday,hour,games
0,0,736
0,1,752
0,2,737
0,3,707
0,4,594
0,5,537
0,6,414
0,7,313
0,8,239
0,9,174
0,10,134
0,11,143
0,12,139
0,13,207
0,14,277
0,15,456
0,16,591
0,17,743
0,18,825
0,19,859
0,20,876
0,21,956
0,22,973
0,23,1090
1,0,1042
1,1,980
1,2,892
1,3,805
1,4,654
1,5,516
1,6,356
1,7,225
1,8,188
1,9,153
1,10,120
1,11,126
1,12,151
1,13,185
1,14,241
1,15,316
1,16,378
1,17,506
1,18,573
1,19,661
1,20,670
1,21,685
1,22,805
1,23,831
2,0,915
2,1,971
2,2,904
2,3,834
2,4,734
2,5,572
2,6,367
2,7,282
2,8,182
2,9,156
2,10,115
2,11,120
2,12,148
2,13,173
2,14,250
2,15,308
2,16,415
2,17,407
2,18,491
2,19,594
2,20,637
2,21,689
2,22,696
2,23,612
3,0,713
3,1,776
3,2,775
3,3,712
3,4,535
3,5,437
3,6,317
3,7,214
3,8,163
3,9,114
3,10,93
3,11,115
3,12,116
3,13,133
3,14,194
3,15,252
3,16,332
3,17,368
3,18,426
3,19,539
3,20,534
3,21,586
3,22,679
3,23,674
4,0,761
4,1,748
4,2,704
4,3,669
4,4,607
4,5,421
4,6,339
4,7,217
4,8,154
4,9,120
4,10,77
4,11,90
4,12,119
4,13,149
4,14,210
4,15,277
4,16,363
4,17,400
4,18,425
4,19,506
4,20,556
4,21,596
4,22,680
4,23,698
5,0,663
5,1,741
5,2,739
5,3,675
5,4,574
5,5,444
5,6,325
5,7,204
5,8,157
5,9,119
5,10,92
5,11,110
5,12,121
5,13,153
5,14,222
5,15,296
5,16,393
5,17,451
5,18,484
5,19,533
5,20,602
5,21,633
5,22,655
5,23,693
6,0,685
6,1,720
6,2,713
6,3,662
6,4,541
6,5,475
6,6,371
6,7,262
6,8,172
6,9,119
6,10,86
6,11,82
6,12,127
6,13,166
6,14,278
6,15,357
6,16,497
6,17,543
6,18,617
6,19,611
6,20,636
6,21,703
6,22,807
6,23,770
